noc_title_2016,noc_title_2021,prov,noc_2016,noc_2016_title,skill_level,noc_2021,noc_2021_title,teer_category,noc_version,min_wage,median_wage,max_wage,mean_wage,source,reference_period,revision_date
8262 - Fishermen/women,83121 - Fishermen/women,,8262,Fishermen/women,B,83121,,3,"2016, 2021",15.5,25.0,80.0,35.86,Employment Insurance Survey Data,2020-2021,2022-11-16
8411 - Underground mine service and support workers,84100 - Underground mine service and support workers,,8411,Underground mine service and support workers,C,84100,,4,"2016, 2021",21.5,34.0,43.5,32.8,Labour Force Survey,2020-2021,2022-11-16
8412 - Oil and gas well drilling and related workers and services operators,84101 - Oil and gas well drilling and related workers and services operators,,8412,Oil and gas well drilling and related workers and services operators,C,84101,,4,"2016, 2021",19.23,31.0,56.25,34.11,Labour Force Survey,2020-2021,2022-11-16
8421 - Chain saw and skidder operators,84110 - Chain saw and skidder operators,,8421,Chain saw and skidder operators,C,84110,,4,"2016, 2021",18.0,27.38,37.0,27.94,Employment Insurance Survey Data,2020-2021,2022-11-16
8422 - Silviculture and forestry workers,84111 - Silviculture and forestry workers,,8422,Silviculture and forestry workers,C,84111,,4,"2016, 2021",16.2,22.5,32.0,23.97,Employment Insurance Survey Data,2020-2021,2022-11-16
8431 - General farm workers,,,8431,General farm workers,C,,,,2016,13.0,18.0,27.18,19.29,Labour Force Survey,2020-2021,2022-11-16
8432 - Nursery and greenhouse workers,,,8432,Nursery and greenhouse workers,C,,,,2016,14.0,17.0,28.85,19.48,Labour Force Survey,2020-2021,2022-11-16
8442 - Trappers and hunters,85104 - Trappers and hunters,,8442,Trappers and hunters,C,85104,,5,"2016, 2021",13.33,20.0,35.71,,Labour Force Survey,2020-2021,2022-11-16
8611 - Harvesting labourers,85101 - Harvesting labourers,,8611,Harvesting labourers,D,85101,,5,"2016, 2021",14.0,15.5,22.0,17.03,Employment Insurance Survey Data,2020-2021,2022-11-16
8613 - Aquaculture and marine harvest labourers,85102 - Aquaculture and marine harvest labourers,,8613,Aquaculture and marine harvest labourers,D,85102,,5,"2016, 2021",15.0,19.75,29.33,21.3,Labour Force Survey,2020-2021,2022-11-16
8614 - Mine labourers,85110 - Mine labourers,,8614,Mine labourers,D,85110,,5,"2016, 2021",18.75,26.0,40.0,28.18,Employment Insurance Survey Data,2020-2021,2022-11-16
"8615 - Oil and gas drilling, servicing and related labourers","85111 - Oil and gas drilling, servicing and related labourers",,8615,"Oil and gas drilling, servicing and related labourers",D,85111,,5,"2016, 2021",18.25,26.0,33.0,26.21,Employment Insurance Survey Data,2020-2021,2022-11-16
8616 - Logging and forestry labourers,85120 - Logging and forestry labourers,,8616,Logging and forestry labourers,D,85120,,5,"2016, 2021",15.8,25.0,40.0,26.85,Employment Insurance Survey Data,2020-2021,2022-11-16
"9211 - Supervisors, mineral and metal processing","92010 - Supervisors, mineral and metal processing",,9211,"Supervisors, mineral and metal processing",B,92010,,2,"2016, 2021",20.0,33.61,52.88,35.36,Labour Force Survey,2020-2021,2022-11-16
"9212 - Supervisors, petroleum, gas and chemical processing and utilities","92011 - Supervisors, petroleum, gas and chemical processing and utilities",,9212,"Supervisors, petroleum, gas and chemical processing and utilities",B,92011,,2,"2016, 2021",22.0,40.0,62.0,41.33,Labour Force Survey,2020-2021,2022-11-16
"9213 - Supervisors, food, beverage and associated products processing","92012 - Supervisors, food, beverage and associated products processing",,9213,"Supervisors, food, beverage and associated products processing",B,92012,,2,"2016, 2021",16.94,24.04,39.42,26.24,Labour Force Survey,2020-2021,2022-11-16
"9214 - Supervisors, plastic and rubber products manufacturing","92013 - Supervisors, plastic and rubber products manufacturing",,9214,"Supervisors, plastic and rubber products manufacturing",B,92013,,2,"2016, 2021",21.0,28.0,41.0,29.17,Labour Force Survey,2020-2021,2022-11-16
"9215 - Supervisors, forest products processing","92014 - Supervisors, forest products processing",,9215,"Supervisors, forest products processing",B,92014,,2,"2016, 2021",21.0,32.0,48.08,32.96,Labour Force Survey,2020-2021,2022-11-16
"9217 - Supervisors, textile, fabric, fur and leather products processing and manufacturing","92015 - Supervisors, textile, fabric, fur and leather products processing and manufacturing",,9217,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",B,92015,,2,"2016, 2021",15.0,23.0,34.29,25.21,Labour Force Survey,2020-2021,2022-11-16
"9221 - Supervisors, motor vehicle assembling","92020 - Supervisors, motor vehicle assembling",,9221,"Supervisors, motor vehicle assembling",B,92020,,2,"2016, 2021",24.7,31.75,44.87,33.25,Labour Force Survey,2020-2021,2022-11-16
"9222 - Supervisors, electronics manufacturing",,,9222,"Supervisors, electronics manufacturing",B,,,,2016,21.31,26.0,34.62,27.21,Labour Force Survey,2020-2021,2022-11-16
"9223 - Supervisors, electrical products manufacturing","92021 - Supervisors, electronics and electrical products manufacturing",,9223,"Supervisors, electrical products manufacturing",B,92021,"Supervisors, electronics and electrical products manufacturing",2,2016,20.19,29.91,34.0,29.14,Labour Force Survey,2020-2021,2022-11-16
"9224 - Supervisors, furniture and fixtures manufacturing","92022 - Supervisors, furniture and fixtures manufacturing",,9224,"Supervisors, furniture and fixtures manufacturing",B,92022,,2,"2016, 2021",18.0,28.75,40.87,29.43,Labour Force Survey,2020-2021,2022-11-16
"9226 - Supervisors, other mechanical and metal products manufacturing","92023 - Supervisors, other mechanical and metal products manufacturing",,9226,"Supervisors, other mechanical and metal products manufacturing",B,92023,,2,"2016, 2021",22.0,30.0,43.27,31.17,Labour Force Survey,2020-2021,2022-11-16
"9227 - Supervisors, other products manufacturing and assembly","92024 - Supervisors, other products manufacturing and assembly",,9227,"Supervisors, other products manufacturing and assembly",B,92024,,2,"2016, 2021",20.0,30.0,48.08,32.16,Labour Force Survey,2020-2021,2022-11-16
"9231 - Central control and process operators, mineral and metal processing","93100 - Central control and process operators, mineral and metal processing",,9231,"Central control and process operators, mineral and metal processing",B,93100,,3,"2016, 2021",25.0,34.0,44.75,34.32,Labour Force Survey,2020-2021,2022-11-16
"9232 - Petroleum, gas and chemical process operators","93101 - Petroleum, gas and chemical process operators",,9232,"Petroleum, gas and chemical process operators",B,93101,,3,"2016, 2021",26.85,46.0,63.0,44.7,Labour Force Survey,2020-2021,2022-11-16
"9235 - Pulping, papermaking and coating control operators","93102 - Pulping, papermaking and coating control operators",,9235,"Pulping, papermaking and coating control operators",B,93102,,3,"2016, 2021",23.0,32.0,42.0,31.92,Labour Force Survey,2020-2021,2022-11-16
9241 - Power engineers and power systems operators,92100 - Power engineers and power systems operators,,9241,Power engineers and power systems operators,B,92100,,2,"2016, 2021",24.0,40.06,60.92,42.04,Labour Force Survey,2020-2021,2022-11-16
9243 - Water and waste treatment plant operators,92101 - Water and waste treatment plant operators,,9243,Water and waste treatment plant operators,B,92101,,2,"2016, 2021",23.0,32.0,41.0,31.55,Labour Force Survey,2020-2021,2022-11-16
"9411 - Machine operators, mineral and metal processing","94100 - Machine operators, mineral and metal processing",,9411,"Machine operators, mineral and metal processing",C,94100,,4,"2016, 2021",21.1,32.0,46.0,32.65,Labour Force Survey,2020-2021,2022-11-16
9412 - Foundry workers,94101 - Foundry workers,,9412,Foundry workers,C,94101,,4,"2016, 2021",15.81,21.6,28.64,22.35,Employment Insurance Survey Data,2020-2021,2022-11-16
9413 - Glass forming and finishing machine operators and glass cutters,94102 - Glass forming and finishing machine operators and glass cutters,,9413,Glass forming and finishing machine operators and glass cutters,C,94102,,4,"2016, 2021",15.0,19.69,26.0,20.36,Employment Insurance Survey Data,2020-2021,2022-11-16
"9414 - Concrete, clay and stone forming operators","94103 - Concrete, clay and stone forming operators",,9414,"Concrete, clay and stone forming operators",C,94103,,4,"2016, 2021",17.0,23.0,32.0,23.91,Employment Insurance Survey Data,2020-2021,2022-11-16
"9415 - Inspectors and testers, mineral and metal processing","94104 - Inspectors and testers, mineral and metal processing",,9415,"Inspectors and testers, mineral and metal processing",C,94104,,4,"2016, 2021",16.82,25.0,36.45,26.5,Employment Insurance Survey Data,2020-2021,2022-11-16
9416 - Metalworking and forging machine operators,94105 - Metalworking and forging machine operators,,9416,Metalworking and forging machine operators,C,94105,,4,"2016, 2021",15.0,21.0,29.12,21.67,Labour Force Survey,2020-2021,2022-11-16
9418 - Other metal products machine operators,,,9418,Other metal products machine operators,C,,,,2016,15.65,21.2,30.0,22.43,Labour Force Survey,2020-2021,2022-11-16
9421 - Chemical plant machine operators,94110 - Chemical plant machine operators,,9421,Chemical plant machine operators,C,94110,,4,"2016, 2021",16.5,24.5,35.0,25.83,Labour Force Survey,2020-2021,2022-11-16
9422 - Plastics processing machine operators,94111 - Plastics processing machine operators,,9422,Plastics processing machine operators,C,94111,,4,"2016, 2021",15.2,20.0,29.0,21.32,Labour Force Survey,2020-2021,2022-11-16
9423 - Rubber processing machine operators and related workers,94112 - Rubber processing machine operators and related workers,,9423,Rubber processing machine operators and related workers,C,94112,,4,"2016, 2021",16.55,24.5,32.5,24.46,Labour Force Survey,2020-2021,2022-11-16
9431 - Sawmill machine operators,94120 - Sawmill machine operators,,9431,Sawmill machine operators,C,94120,,4,"2016, 2021",17.5,25.0,33.83,25.31,Labour Force Survey,2020-2021,2022-11-16
9432 - Pulp mill machine operators,"94121 - Pulp mill, papermaking and finishing machine operators",,9432,Pulp mill machine operators,C,94121,"Pulp mill, papermaking and finishing machine operators",4,2016,25.0,36.42,48.0,35.6,Labour Force Survey,2020-2021,2022-11-16
9433 - Papermaking and finishing machine operators,,,9433,Papermaking and finishing machine operators,C,,,,2016,18.75,27.0,39.0,28.09,Labour Force Survey,2020-2021,2022-11-16
9434 - Other wood processing machine operators,94129 - Other wood processing machine operators,,9434,Other wood processing machine operators,C,94129,,4,"2016, 2021",17.0,23.39,32.0,24.15,Labour Force Survey,2020-2021,2022-11-16
9435 - Paper converting machine operators,94122 - Paper converting machine operators,,9435,Paper converting machine operators,C,94122,,4,"2016, 2021",16.0,24.87,33.0,24.15,Labour Force Survey,2020-2021,2022-11-16
9436 - Lumber graders and other wood processing inspectors and graders,94123 - Lumber graders and other wood processing inspectors and graders,,9436,Lumber graders and other wood processing inspectors and graders,C,94123,,4,"2016, 2021",17.0,23.5,36.0,24.75,Labour Force Survey,2020-2021,2022-11-16
9437 - Woodworking machine operators,94124 - Woodworking machine operators,,9437,Woodworking machine operators,C,94124,,4,"2016, 2021",16.0,19.5,27.0,20.71,Labour Force Survey,2020-2021,2022-11-16
"9441 - Textile fibre and yarn, hide and pelt processing machine operators and workers","94130 - Textile fibre and yarn, hide and pelt processing machine operators and workers",,9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",C,94130,,4,"2016, 2021",13.1,16.0,22.0,17.85,Labour Force Survey,2020-2021,2022-11-16
"9445 - Fabric, fur and leather cutters",,,9445,"Fabric, fur and leather cutters",C,,,,2016,14.0,17.0,25.0,18.45,Employment Insurance Survey Data,2020-2021,2022-11-16
9446 - Industrial sewing machine operators,94132 - Industrial sewing machine operators,,9446,Industrial sewing machine operators,C,94132,,4,"2016, 2021",13.0,15.2,20.0,16.08,Labour Force Survey,2020-2021,2022-11-16
"9447 - Inspectors and graders, textile, fabric, fur and leather products manufacturing","94133 - Inspectors and graders, textile, fabric, fur and leather products manufacturing",,9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",C,94133,,4,"2016, 2021",13.0,15.0,21.75,16.51,Employment Insurance Survey Data,2020-2021,2022-11-16
"9461 - Process control and machine operators, food, beverage and associated products processing","94140 - Process control and machine operators, food, beverage and associated products processing",,9461,"Process control and machine operators, food, beverage and associated products processing",C,94140,,4,"2016, 2021",14.69,19.23,29.0,20.71,Labour Force Survey,2020-2021,2022-11-16
"9462 - Industrial butchers and meat cutters, poultry preparers and related workers","94141 - Industrial butchers and meat cutters, poultry preparers and related workers",,9462,"Industrial butchers and meat cutters, poultry preparers and related workers",C,94141,,4,"2016, 2021",16.0,20.0,23.0,20.01,Labour Force Survey,2020-2021,2022-11-16
9463 - Fish and seafood plant workers,94142 - Fish and seafood plant workers,,9463,Fish and seafood plant workers,C,94142,,4,"2016, 2021",13.75,15.62,18.49,16.07,Employment Insurance Survey Data,2020-2021,2022-11-16
"9465 - Testers and graders, food, beverage and associated products processing","94143 - Testers and graders, food, beverage and associated products processing",,9465,"Testers and graders, food, beverage and associated products processing",C,94143,,4,"2016, 2021",16.0,20.93,36.06,23.36,Labour Force Survey,2020-2021,2022-11-16
9471 - Plateless printing equipment operators,94150 - Plateless printing equipment operators,,9471,Plateless printing equipment operators,C,94150,,4,"2016, 2021",15.0,20.0,29.0,21.33,Labour Force Survey,2020-2021,2022-11-16
"9472 - Camera, platemaking and other prepress occupations","94151 - Camera, platemaking and other prepress occupations",,9472,"Camera, platemaking and other prepress occupations",C,94151,,4,"2016, 2021",14.99,22.73,36.0,25.4,2016 Census,2016,2022-11-16
9473 - Binding and finishing machine operators,94152 - Binding and finishing machine operators,,9473,Binding and finishing machine operators,C,94152,,4,"2016, 2021",14.0,17.0,31.0,20.0,Labour Force Survey,2020-2021,2022-11-16
9474 - Photographic and film processors,94153 - Photographic and film processors,,9474,Photographic and film processors,C,94153,,4,"2016, 2021",13.95,17.0,28.5,19.87,Employment Insurance Survey Data,2020-2021,2022-11-16
9521 - Aircraft assemblers and aircraft assembly inspectors,93200 - Aircraft assemblers and aircraft assembly inspectors,,9521,Aircraft assemblers and aircraft assembly inspectors,C,93200,,3,"2016, 2021",19.55,30.0,44.23,30.55,Labour Force Survey,2020-2021,2022-11-16
"9522 - Motor vehicle assemblers, inspectors and testers","94200 - Motor vehicle assemblers, inspectors and testers",,9522,"Motor vehicle assemblers, inspectors and testers",C,94200,,4,"2016, 2021",18.81,27.35,36.15,27.66,Labour Force Survey,2020-2021,2022-11-16
"9523 - Electronics assemblers, fabricators, inspectors and testers","94201 - Electronics assemblers, fabricators, inspectors and testers",,9523,"Electronics assemblers, fabricators, inspectors and testers",C,94201,,4,"2016, 2021",14.42,19.5,31.0,21.18,Labour Force Survey,2020-2021,2022-11-16
"9524 - Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","94202 - Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",,9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",C,94202,,4,"2016, 2021",14.75,18.94,31.28,21.17,Labour Force Survey,2020-2021,2022-11-16
9526 - Mechanical assemblers and inspectors,94204 - Mechanical assemblers and inspectors,,9526,Mechanical assemblers and inspectors,C,94204,,4,"2016, 2021",16.0,22.5,30.0,23.21,Labour Force Survey,2020-2021,2022-11-16
"9527 - Machine operators and inspectors, electrical apparatus manufacturing","94205 - Machine operators and inspectors, electrical apparatus manufacturing",,9527,"Machine operators and inspectors, electrical apparatus manufacturing",C,94205,,4,"2016, 2021",15.0,19.43,27.51,20.6,Employment Insurance Survey Data,2020-2021,2022-11-16
9531 - Boat assemblers and inspectors,,,9531,Boat assemblers and inspectors,C,,,,2016,20.0,24.75,36.0,25.42,Labour Force Survey,2020-2021,2022-11-16
9532 - Furniture and fixture assemblers and inspectors,"94210 - Furniture and fixture assemblers, finishers, refinishers and inspectors",,9532,Furniture and fixture assemblers and inspectors,C,94210,"Furniture and fixture assemblers, finishers, refinishers and inspectors",4,2016,15.0,19.19,27.0,20.57,Labour Force Survey,2020-2021,2022-11-16
9533 - Other wood products assemblers and inspectors,,,9533,Other wood products assemblers and inspectors,C,,,,2016,16.0,18.5,26.0,19.86,Labour Force Survey,2020-2021,2022-11-16
9534 - Furniture finishers and refinishers,,,9534,Furniture finishers and refinishers,C,,,,2016,16.0,20.5,27.0,21.48,Labour Force Survey,2020-2021,2022-11-16
"9535 - Plastic products assemblers, finishers and inspectors","94212 - Plastic products assemblers, finishers and inspectors",,9535,"Plastic products assemblers, finishers and inspectors",C,94212,,4,"2016, 2021",15.38,18.5,26.19,19.73,Labour Force Survey,2020-2021,2022-11-16
"9536 - Industrial painters, coaters and metal finishing process operators","94213 - Industrial painters, coaters and metal finishing process operators",,9536,"Industrial painters, coaters and metal finishing process operators",C,94213,,4,"2016, 2021",16.5,22.75,32.0,23.94,Labour Force Survey,2020-2021,2022-11-16
"9537 - Other products assemblers, finishers and inspectors","94219 - Other products assemblers, finishers and inspectors",,9537,"Other products assemblers, finishers and inspectors",C,94219,,4,"2016, 2021",15.0,19.23,27.4,20.47,Labour Force Survey,2020-2021,2022-11-16
9611 - Labourers in mineral and metal processing,95100 - Labourers in mineral and metal processing,,9611,Labourers in mineral and metal processing,D,95100,,5,"2016, 2021",16.0,22.1,34.14,23.91,Employment Insurance Survey Data,2020-2021,2022-11-16
9612 - Labourers in metal fabrication,95101 - Labourers in metal fabrication,,9612,Labourers in metal fabrication,D,95101,,5,"2016, 2021",16.0,20.5,29.97,22.01,Employment Insurance Survey Data,2020-2021,2022-11-16
9613 - Labourers in chemical products processing and utilities,95102 - Labourers in chemical products processing and utilities,,9613,Labourers in chemical products processing and utilities,D,95102,,5,"2016, 2021",15.55,22.0,35.0,23.79,Employment Insurance Survey Data,2020-2021,2022-11-16
"9614 - Labourers in wood, pulp and paper processing","95103 - Labourers in wood, pulp and paper processing",,9614,"Labourers in wood, pulp and paper processing",D,95103,,5,"2016, 2021",15.0,20.62,32.06,22.58,Employment Insurance Survey Data,2020-2021,2022-11-16
9615 - Labourers in rubber and plastic products manufacturing,95104 - Labourers in rubber and plastic products manufacturing,,9615,Labourers in rubber and plastic products manufacturing,D,95104,,5,"2016, 2021",14.0,17.8,23.99,18.28,Labour Force Survey,2020-2021,2022-11-16
9616 - Labourers in textile processing,95105 - Labourers in textile processing and cutting,,9616,Labourers in textile processing,D,95105,Labourers in textile processing and cutting,5,2016,14.0,15.8,17.93,16.06,Labour Force Survey,2020-2021,2022-11-16
"9617 - Labourers in food, beverage and associated products processing","95106 - Labourers in food, beverage and associated products processing",,9617,"Labourers in food, beverage and associated products processing",D,95106,,5,"2016, 2021",14.0,17.83,23.75,18.58,Labour Force Survey,2020-2021,2022-11-16
9618 - Labourers in fish and seafood processing,95107 - Labourers in fish and seafood processing,,9618,Labourers in fish and seafood processing,D,95107,,5,"2016, 2021",13.9,16.0,19.87,16.61,Employment Insurance Survey Data,2020-2021,2022-11-16
"9619 - Other labourers in processing, manufacturing and utilities","95109 - Other labourers in processing, manufacturing and utilities",,9619,"Other labourers in processing, manufacturing and utilities",D,95109,,5,"2016, 2021",14.0,17.0,24.0,18.28,Employment Insurance Survey Data,2020-2021,2022-11-16
